longitude,latitude,forest_loss_prediction
81.4904,28.3249,0
80.6179,29.3673,0
83.5294,27.7138,0
81.5097,28.3483,1
82.5843,27.7616,0
80.683,28.926,0
80.8204,28.782,1
81.8495,28.797,0
81.4037,28.9007,0
87.3239,27.0911,0
81.8059,28.0322,0
80.8601,29.0369,0
83.1762,28.0166,1
81.6674,28.3171,0
82.4015,27.8247,0
81.3607,28.8948,0
80.2765,28.9807,0
81.0007,28.9412,1
80.4552,29.0879,0
81.4877,28.4473,0
80.829,28.6253,0
81.093,28.8558,0
81.4825,28.6263,0
82.8475,27.9298,0
83.2205,27.7432,0
80.3686,29.1153,1
80.9622,28.5333,0
80.6526,29.0006,1
81.3654,28.4725,0
81.3817,28.3631,0
82.8205,28.0045,0
81.307,28.6794,1
81.049,28.762,1
81.8986,28.5322,1
80.4292,29.1057,0
82.0512,28.0938,0
83.0949,27.6733,0
81.0033,29.2612,0
81.9639,28.4889,0
80.5612,29.3677,0
80.7195,28.9677,0
80.4663,28.7425,0
81.1763,28.8446,1
81.6921,28.2993,0
82.1674,27.9531,0
85.0746,27.2116,1
80.3987,29.1072,1
82.4082,27.921,0
80.6389,29.4298,1
81.4851,28.5055,0
81.8223,28.0218,1
81.2686,28.5807,0
81.6734,28.4847,1
82.2407,28.3485,0
80.644,29.1323,1
86.0324,27.0151,1
80.9826,28.8872,1
80.6032,29.0822,1
82.3161,28.322,0
86.7885,26.7887,0
80.5418,29.1616,0
80.2929,29.1042,1
81.897,28.129,0
81.5308,28.3876,1
81.8146,28.522,1
81.3437,28.5556,0
82.9083,28.0165,1
84.9744,27.2761,0
80.8601,29.0369,0
80.4812,28.7295,0
80.1855,28.8431,0
81.9176,28.1168,0
80.7796,29.3127,0
82.4503,27.9629,0
81.4804,28.6569,1
80.2146,28.8479,0
86.5895,26.7651,0
81.4877,28.4473,0
81.1261,28.83,1
81.8732,28.4107,0
81.7032,28.4687,0
82.7511,27.7761,0
82.6581,28.3111,0
81.4697,28.4131,0
81.2802,28.9689,1
82.1076,28.506,0
82.2086,27.9007,0
85.9522,27.0294,1
80.4933,28.7165,0
84.903,27.3012,1
82.0024,28.0851,0
81.4385,28.4564,1
81.4781,28.3493,0
81.0443,28.8985,1
81.1623,29.0841,1
81.546,28.7129,0
80.5038,29.0235,0
81.9289,28.1231,1
87.6906,26.7129,1
85.0784,27.2152,0
80.8783,28.6114,0
80.3917,29.0877,0
84.5042,27.5312,0
81.432,28.2055,1
85.5132,27.0177,0
84.8524,27.2787,1
81.8269,28.4011,0
81.9363,28.1443,1
81.4877,28.2956,0
81.9893,27.9526,1
81.5245,28.5367,0
